Month,DayofMonth,DayOfWeek,ArrDelay,DepDelay,Origin,Dest,Cancelled
10,14,3,23,11,SAN,SFO,0
10,15,4,14,-1,SAN,SFO,0
10,17,6,29,11,SAN,SFO,0
10,18,7,-2,-1,SAN,SFO,0
10,19,1,33,19,SAN,SFO,0
10,21,3,-1,-2,SAN,SFO,0
10,22,4,3,-2,SAN,SFO,0
10,23,5,13,1,SAN,SFO,0
10,24,6,19,14,SAN,SFO,0
10,25,7,2,-1,SAN,SFO,0
10,26,1,15,5,SAN,SFO,0
10,28,3,24,16,SAN,SFO,0
10,29,4,11,17,SAN,SFO,0
10,31,6,-7,1,SAN,SFO,0
10,1,4,34,21,SFO,RNO,0
10,2,5,16,3,SFO,RNO,0
10,3,6,36,13,SFO,RNO,0
10,4,7,2,-1,SFO,RNO,0
10,5,1,88,87,SFO,RNO,0
10,6,2,23,19,SFO,RNO,0
10,7,3,36,31,SFO,RNO,0
10,8,4,32,17,SFO,RNO,0
10,9,5,35,32,SFO,RNO,0
10,10,6,21,0,SFO,RNO,0
10,11,7,5,1,SFO,RNO,0
10,12,1,26,29,SFO,RNO,0
10,13,2,35,26,SFO,RNO,0
10,14,3,28,15,SFO,RNO,0
10,15,4,22,5,SFO,RNO,0
10,17,6,63,54,SFO,RNO,0
10,18,7,7,0,SFO,RNO,0
10,19,1,31,25,SFO,RNO,0
10,21,3,2,-2,SFO,RNO,0
10,22,4,16,0,SFO,RNO,0
10,23,5,21,12,SFO,RNO,0
10,24,6,51,14,SFO,RNO,0
10,25,7,10,-1,SFO,RNO,0
10,26,1,22,2,SFO,RNO,0
10,27,2,13,1,SFO,RNO,0
10,28,3,51,16,SFO,RNO,0
10,29,4,29,15,SFO,RNO,0
10,30,5,50,44,SFO,RNO,0
10,31,6,25,20,SFO,RNO,0
10,1,4,16,15,BUR,OAK,0
10,2,5,7,3,BUR,OAK,0
10,4,7,17,21,BUR,OAK,0
10,5,1,-6,-1,BUR,OAK,0
10,6,2,-1,0,BUR,OAK,0
10,7,3,6,7,BUR,OAK,0
10,8,4,28,23,BUR,OAK,0
10,9,5,60,61,BUR,OAK,0
10,11,7,-6,0,BUR,OAK,0
10,12,1,NA,NA,BUR,OAK,1
10,13,2,32,28,BUR,OAK,0
10,14,3,31,23,BUR,OAK,0
10,15,4,37,38,BUR,OAK,0
10,16,5,18,16,BUR,OAK,0
10,19,1,9,8,BUR,OAK,0
10,20,2,38,46,BUR,OAK,0
10,21,3,12,-1,BUR,OAK,0
10,22,4,15,13,BUR,OAK,0
10,23,5,69,53,BUR,OAK,0
10,25,7,27,26,BUR,OAK,0
10,26,1,6,3,BUR,OAK,0
10,27,2,19,26,BUR,OAK,0
10,28,3,9,0,BUR,OAK,0
10,29,4,3,0,BUR,OAK,0
10,30,5,9,6,BUR,OAK,0
10,1,4,18,8,OAK,BUR,0
10,2,5,5,0,OAK,BUR,0
10,3,6,16,-1,OAK,BUR,0
10,4,7,18,11,OAK,BUR,0
10,5,1,4,-1,OAK,BUR,0
10,6,2,3,-1,OAK,BUR,0
10,7,3,-2,-1,OAK,BUR,0
10,8,4,23,19,OAK,BUR,0
10,9,5,59,56,OAK,BUR,0
10,10,6,8,0,OAK,BUR,0
10,11,7,8,-1,OAK,BUR,0
10,12,1,NA,NA,OAK,BUR,1
10,13,2,26,21,OAK,BUR,0
10,14,3,18,17,OAK,BUR,0
10,15,4,33,26,OAK,BUR,0
10,16,5,14,12,OAK,BUR,0
10,17,6,11,-1,OAK,BUR,0
10,19,1,3,0,OAK,BUR,0
10,20,2,36,30,OAK,BUR,0
10,21,3,10,3,OAK,BUR,0
10,22,4,12,5,OAK,BUR,0
10,23,5,73,68,OAK,BUR,0
10,24,6,13,-1,OAK,BUR,0
10,25,7,32,22,OAK,BUR,0
10,26,1,4,-1,OAK,BUR,0
10,27,2,14,9,OAK,BUR,0
10,31,6,19,21,BUR,OAK,0
10,1,4,31,21,LAX,SFO,0
10,2,5,11,1,LAX,SFO,0
10,5,1,-5,3,LAX,SFO,0
10,6,2,NA,NA,LAX,SFO,1
10,8,4,15,13,LAX,SFO,0
10,13,2,18,4,LAX,SFO,0
10,15,4,9,6,LAX,SFO,0
10,16,5,23,10,LAX,SFO,0
10,19,1,15,14,LAX,SFO,0
10,20,2,20,22,LAX,SFO,0
10,22,4,2,1,LAX,SFO,0
10,23,5,11,10,LAX,SFO,0
10,26,1,-4,1,LAX,SFO,0
10,27,2,-1,2,LAX,SFO,0
10,29,4,18,7,LAX,SFO,0
10,30,5,8,2,LAX,SFO,0
10,1,4,34,9,PHX,LAX,0
10,2,5,14,7,PHX,LAX,0
10,3,6,30,1,PHX,LAX,0
10,5,1,8,2,PHX,LAX,0
10,6,2,51,11,PHX,LAX,0
10,7,3,8,3,PHX,LAX,0
10,8,4,26,7,PHX,LAX,0
10,9,5,12,5,PHX,LAX,0
10,10,6,15,5,PHX,LAX,0
10,12,1,11,4,PHX,LAX,0
10,13,2,14,2,PHX,LAX,0
10,14,3,20,4,PHX,LAX,0
10,15,4,10,4,PHX,LAX,0
10,16,5,20,3,PHX,LAX,0
10,17,6,10,5,PHX,LAX,0
10,19,1,24,6,PHX,LAX,0
10,20,2,26,1,PHX,LAX,0
10,21,3,15,0,PHX,LAX,0
10,22,4,11,5,PHX,LAX,0
10,23,5,11,4,PHX,LAX,0
10,24,6,8,2,PHX,LAX,0
10,26,1,9,2,PHX,LAX,0
10,27,2,15,0,PHX,LAX,0
10,28,3,1,1,PHX,LAX,0
10,29,4,5,0,PHX,LAX,0
10,30,5,2,0,PHX,LAX,0
10,1,4,9,4,LAX,SFO,0
10,2,5,3,0,LAX,SFO,0
10,3,6,7,3,LAX,SFO,0
10,4,7,6,1,LAX,SFO,0
10,5,1,-3,1,LAX,SFO,0
10,6,2,32,28,LAX,SFO,0
10,10,6,-3,0,LAX,SFO,0
10,12,1,20,1,LAX,SFO,0
10,13,2,30,8,LAX,SFO,0
10,14,3,54,12,LAX,SFO,0
10,15,4,4,2,LAX,SFO,0
10,16,5,1,1,LAX,SFO,0
10,17,6,0,-1,LAX,SFO,0
10,18,7,-2,-2,LAX,SFO,0
10,19,1,14,9,LAX,SFO,0
10,20,2,17,14,LAX,SFO,0
10,21,3,-1,2,LAX,SFO,0
10,22,4,-2,-1,LAX,SFO,0
10,23,5,36,15,LAX,SFO,0
10,24,6,7,1,LAX,SFO,0
10,25,7,-2,0,LAX,SFO,0
10,26,1,11,1,LAX,SFO,0
10,27,2,-2,2,LAX,SFO,0
10,28,3,-2,0,LAX,SFO,0
10,29,4,NA,NA,LAX,SFO,1
10,31,6,5,10,LAX,SFO,0
10,1,4,3,7,SFO,PDX,0
10,2,5,2,4,SFO,PDX,0
10,3,6,0,0,SFO,PDX,0
10,4,7,0,0,SFO,PDX,0
10,5,1,2,8,SFO,PDX,0
10,6,2,4,8,SFO,PDX,0
10,10,6,12,-1,SFO,PDX,0
10,12,1,-2,0,SFO,PDX,0
10,13,2,9,3,SFO,PDX,0
10,14,3,31,33,SFO,PDX,0
10,15,4,6,2,SFO,PDX,0
10,16,5,4,4,SFO,PDX,0
10,17,6,5,0,SFO,PDX,0
10,18,7,-6,0,SFO,PDX,0
10,19,1,9,8,SFO,PDX,0
10,20,2,-6,2,SFO,PDX,0
10,21,3,-5,0,SFO,PDX,0
10,22,4,1,1,SFO,PDX,0
10,23,5,17,18,SFO,PDX,0
10,24,6,13,0,SFO,PDX,0
10,25,7,16,1,SFO,PDX,0
10,26,1,8,1,SFO,PDX,0
10,27,2,12,-1,SFO,PDX,0
10,1,4,7,0,OAK,BUR,0
10,2,5,21,7,OAK,BUR,0
10,3,6,-3,-1,OAK,BUR,0
10,4,7,18,1,OAK,BUR,0
10,5,1,15,0,OAK,BUR,0
10,6,2,13,-1,OAK,BUR,0
10,8,4,21,12,OAK,BUR,0
10,9,5,12,0,OAK,BUR,0
10,10,6,2,-2,OAK,BUR,0
10,11,7,21,3,OAK,BUR,0
10,13,2,8,0,OAK,BUR,0
10,14,3,18,5,OAK,BUR,0
10,15,4,20,9,OAK,BUR,0
10,17,6,1,0,OAK,BUR,0
10,18,7,5,0,OAK,BUR,0
10,19,1,15,4,OAK,BUR,0
10,20,2,14,-2,OAK,BUR,0
10,21,3,9,-1,OAK,BUR,0
10,22,4,54,14,OAK,BUR,0
10,23,5,15,4,OAK,BUR,0
10,24,6,-1,-1,OAK,BUR,0
10,25,7,9,-1,OAK,BUR,0
10,26,1,7,-1,OAK,BUR,0
10,28,3,12,-1,OAK,BUR,0
10,29,4,8,5,OAK,BUR,0
10,30,5,8,0,OAK,BUR,0
10,31,6,-2,-1,OAK,BUR,0
10,1,4,14,8,BUR,OAK,0
10,2,5,12,2,BUR,OAK,0
10,3,6,9,0,BUR,OAK,0
10,4,7,11,13,BUR,OAK,0
10,5,1,2,-1,BUR,OAK,0
10,6,2,1,0,BUR,OAK,0
10,7,3,5,-1,BUR,OAK,0
10,8,4,18,19,BUR,OAK,0
10,9,5,71,65,BUR,OAK,0
10,10,6,-2,-1,BUR,OAK,0
10,11,7,-3,0,BUR,OAK,0
10,12,1,5,-1,BUR,OAK,0
10,13,2,29,23,BUR,OAK,0
10,14,3,18,8,BUR,OAK,0
10,15,4,31,19,BUR,OAK,0
10,16,5,12,9,BUR,OAK,0
10,17,6,-1,-1,BUR,OAK,0
10,19,1,1,-1,BUR,OAK,0
10,20,2,45,27,BUR,OAK,0
10,21,3,2,5,BUR,OAK,0
10,22,4,11,5,BUR,OAK,0
10,23,5,85,69,BUR,OAK,0
10,24,6,5,1,BUR,OAK,0
10,25,7,27,27,BUR,OAK,0
10,26,1,-2,-1,BUR,OAK,0
10,27,2,12,11,BUR,OAK,0
10,28,3,18,17,BUR,OAK,0
10,29,4,7,2,BUR,OAK,0
10,30,5,5,8,BUR,OAK,0
10,31,6,-7,-1,BUR,OAK,0
10,28,3,51,44,SJC,BUR,0
10,29,4,25,10,SJC,BUR,0
10,30,5,9,3,SJC,BUR,0
10,1,4,-1,3,BUR,OAK,0
10,2,5,1,0,BUR,OAK,0
10,4,7,37,40,BUR,OAK,0
10,6,2,-4,0,BUR,OAK,0
10,7,3,-4,-1,BUR,OAK,0
10,8,4,-4,5,BUR,OAK,0
10,9,5,45,47,BUR,OAK,0
10,11,7,7,1,BUR,OAK,0
10,12,1,4,-1,BUR,OAK,0
10,13,2,2,-2,BUR,OAK,0
10,14,3,-2,-2,BUR,OAK,0
10,15,4,-5,-2,BUR,OAK,0
10,16,5,1,0,BUR,OAK,0
10,18,7,11,8,BUR,OAK,0
10,19,1,0,-1,BUR,OAK,0
10,20,2,-1,-2,BUR,OAK,0
10,21,3,-1,0,BUR,OAK,0
10,22,4,NA,NA,BUR,OAK,1
10,23,5,50,52,BUR,OAK,0
10,25,7,7,9,BUR,OAK,0
10,26,1,-4,-1,BUR,OAK,0
10,27,2,6,7,BUR,OAK,0
10,28,3,63,52,BUR,OAK,0
10,29,4,36,36,BUR,OAK,0
10,30,5,-4,2,BUR,OAK,0
10,1,4,8,0,SFO,SAN,0
10,6,2,63,50,SFO,SAN,0
10,7,3,11,0,SFO,SAN,0
10,8,4,5,0,SFO,SAN,0
10,9,5,3,1,SFO,SAN,0
10,12,1,6,2,SFO,SAN,0
10,13,2,-1,0,SFO,SAN,0
10,14,3,5,0,SFO,SAN,0
10,15,4,3,0,SFO,SAN,0
10,16,5,5,3,SFO,SAN,0
10,19,1,9,1,SFO,SAN,0
10,20,2,9,-1,SFO,SAN,0
10,21,3,4,2,SFO,SAN,0
10,26,1,7,-1,SFO,SAN,0
10,27,2,10,0,SFO,SAN,0
10,28,3,6,-1,SFO,SAN,0
10,29,4,12,1,SFO,SAN,0
10,30,5,15,4,SFO,SAN,0
10,31,6,23,10,OAK,SAN,0
10,1,4,3,0,SAN,OAK,0
10,2,5,8,1,SAN,OAK,0
10,5,1,63,1,SAN,OAK,0
10,6,2,21,21,SAN,OAK,0
10,8,4,10,3,SAN,OAK,0
10,9,5,2,0,SAN,OAK,0
10,12,1,-1,-1,SAN,OAK,0
10,13,2,5,0,SAN,OAK,0
10,14,3,16,7,SAN,OAK,0
10,15,4,2,1,SAN,OAK,0
10,16,5,2,-1,SAN,OAK,0
10,19,1,6,2,SAN,OAK,0
10,20,2,-3,-1,SAN,OAK,0
10,21,3,4,-1,SAN,OAK,0
10,22,4,2,0,SAN,OAK,0
10,23,5,0,-1,SAN,OAK,0
10,26,1,2,2,SAN,OAK,0
10,27,2,-4,0,SAN,OAK,0
10,28,3,-5,-1,SAN,OAK,0
10,30,5,-5,-1,SAN,OAK,0
10,1,4,4,1,OAK,SAN,0
10,2,5,6,0,OAK,SAN,0
10,3,6,2,-1,OAK,SAN,0
10,5,1,72,58,OAK,SAN,0
10,6,2,28,21,OAK,SAN,0
10,8,4,10,2,OAK,SAN,0
10,9,5,5,0,OAK,SAN,0
10,10,6,10,0,OAK,SAN,0
10,12,1,8,-1,OAK,SAN,0
10,13,2,1,1,OAK,SAN,0
10,14,3,9,7,OAK,SAN,0
10,15,4,5,0,OAK,SAN,0
10,16,5,8,0,OAK,SAN,0
10,17,6,6,-1,OAK,SAN,0
10,19,1,2,-1,OAK,SAN,0
10,20,2,10,-1,OAK,SAN,0
10,21,3,6,-1,OAK,SAN,0
10,22,4,6,-1,OAK,SAN,0
10,23,5,-1,-1,OAK,SAN,0
10,24,6,7,7,OAK,SAN,0
10,26,1,7,-1,OAK,SAN,0
10,27,2,8,-1,OAK,SAN,0
10,28,3,2,-2,OAK,SAN,0
10,30,5,-1,-1,OAK,SAN,0
10,4,7,41,25,LAX,SFO,0
10,5,1,6,2,LAX,SFO,0
10,6,2,4,6,LAX,SFO,0
10,7,3,15,6,LAX,SFO,0
10,8,4,2,1,LAX,SFO,0
10,9,5,49,30,LAX,SFO,0
10,11,7,9,4,LAX,SFO,0
10,13,2,6,1,LAX,SFO,0
